Loan_duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment_length,Installment_commitment,Personal_status,Residence_since,Property_magnitude,Age,Other_payment_plans,House_ownership,Existing_credits,Job,Num_dependents,Class
10.0,critical/other existing credit,new car,2241.0,50.0,0.5,1.0,male single,3.0,real estate,48.0,none,rent,2.0,unskilled resident,2.0,1
12.0,critical/other existing credit,used car,1804.0,300.0,0.5,3.0,male single,4.0,life insurance,44.0,none,own,1.0,skilled,1.0,1
10.0,critical/other existing credit,furniture/equipment,2069.0,0.0,2.5,2.0,male mar/wid,1.0,car,26.0,none,own,2.0,skilled,1.0,1
6.0,existing paid,furniture/equipment,1374.0,50.0,2.5,1.0,male single,2.0,real estate,36.0,bank,own,1.0,unskilled resident,1.0,1
6.0,no credits/all paid,radio/tv,426.0,50.0,7.0,4.0,male mar/wid,4.0,car,39.0,none,own,1.0,unskilled resident,1.0,1
12.0,all paid,radio/tv,409.0,1000.0,2.5,3.0,female div/dep/mar,3.0,real estate,42.0,none,rent,2.0,skilled,1.0,1
7.0,existing paid,radio/tv,2415.0,50.0,2.5,3.0,male single,2.0,real estate,34.0,none,own,1.0,skilled,1.0,1
60.0,delayed previously,business,6836.0,50.0,7.0,3.0,male single,4.0,no known property,63.0,none,own,2.0,skilled,1.0,0
18.0,existing paid,business,1913.0,1000.0,0.5,3.0,male mar/wid,3.0,real estate,36.0,bank,own,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,4020.0,50.0,2.5,2.0,male single,2.0,car,27.0,stores,own,1.0,skilled,1.0,1
18.0,existing paid,new car,5866.0,300.0,2.5,2.0,male single,2.0,car,30.0,none,own,2.0,skilled,1.0,1
12.0,critical/other existing credit,business,1264.0,0.0,7.0,4.0,male single,4.0,no known property,57.0,none,rent,1.0,unskilled resident,1.0,1
12.0,existing paid,furniture/equipment,1474.0,50.0,0.5,4.0,female div/dep/mar,1.0,life insurance,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,1
45.0,critical/other existing credit,radio/tv,4746.0,50.0,0.5,4.0,male single,2.0,life insurance,25.0,none,own,2.0,unskilled resident,1.0,0
48.0,critical/other existing credit,education,6110.0,50.0,2.5,1.0,male single,3.0,no known property,31.0,bank,for free,1.0,skilled,1.0,1
18.0,existing paid,radio/tv,2100.0,50.0,2.5,4.0,male single,2.0,real estate,37.0,stores,own,1.0,skilled,1.0,0
10.0,existing paid,domestic appliance,1225.0,50.0,2.5,2.0,male single,2.0,car,37.0,none,own,1.0,skilled,1.0,1
9.0,existing paid,radio/tv,458.0,50.0,2.5,4.0,male single,3.0,real estate,24.0,none,own,1.0,skilled,1.0,1
30.0,existing paid,radio/tv,2333.0,750.0,7.0,4.0,male single,2.0,car,30.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,radio/tv,1158.0,750.0,2.5,3.0,male div/sep,1.0,car,26.0,none,own,1.0,skilled,1.0,1
18.0,delayed previously,repairs,6204.0,50.0,2.5,2.0,male single,4.0,real estate,44.0,none,own,1.0,unskilled resident,2.0,1
30.0,critical/other existing credit,used car,6187.0,300.0,5.5,1.0,male mar/wid,4.0,car,24.0,none,rent,2.0,skilled,1.0,1
48.0,critical/other existing credit,used car,6143.0,50.0,7.0,4.0,female div/dep/mar,4.0,no known property,58.0,stores,for free,2.0,unskilled resident,1.0,0
11.0,critical/other existing credit,new car,1393.0,50.0,0.5,4.0,female div/dep/mar,4.0,car,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,1
36.0,existing paid,radio/tv,2299.0,750.0,7.0,4.0,male single,4.0,car,39.0,none,own,1.0,skilled,1.0,1
6.0,existing paid,used car,1352.0,750.0,0.0,1.0,female div/dep/mar,2.0,life insurance,23.0,none,rent,1.0,unemp/unskilled non res,1.0,1
11.0,critical/other existing credit,new car,7228.0,50.0,2.5,1.0,male single,4.0,life insurance,39.0,none,own,2.0,unskilled resident,1.0,1
12.0,existing paid,radio/tv,2073.0,300.0,2.5,4.0,female div/dep/mar,2.0,real estate,28.0,none,own,1.0,skilled,1.0,1
24.0,delayed previously,furniture/equipment,2333.0,0.0,0.5,4.0,male single,2.0,life insurance,29.0,bank,own,1.0,unskilled resident,1.0,1
27.0,delayed previously,used car,5965.0,50.0,7.0,1.0,male single,2.0,car,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,radio/tv,1262.0,50.0,2.5,3.0,male single,2.0,car,25.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,used car,3378.0,0.0,2.5,2.0,male single,1.0,life insurance,31.0,none,own,1.0,skilled,1.0,1
36.0,delayed previously,new car,2225.0,50.0,7.0,4.0,male single,4.0,no known property,57.0,bank,for free,2.0,skilled,1.0,0
6.0,all paid,new car,783.0,0.0,2.5,1.0,male single,2.0,real estate,26.0,stores,own,1.0,unskilled resident,2.0,1
12.0,existing paid,radio/tv,6468.0,0.0,0.0,2.0,male single,1.0,no known property,52.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
36.0,critical/other existing credit,radio/tv,9566.0,50.0,2.5,2.0,female div/dep/mar,2.0,car,31.0,stores,own,2.0,skilled,1.0,1
18.0,existing paid,new car,1961.0,50.0,7.0,3.0,female div/dep/mar,2.0,car,23.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
36.0,critical/other existing credit,furniture/equipment,6229.0,50.0,0.5,4.0,female div/dep/mar,4.0,no known property,23.0,none,rent,2.0,unskilled resident,1.0,0
9.0,existing paid,business,1391.0,50.0,2.5,2.0,male mar/wid,1.0,real estate,27.0,bank,own,1.0,skilled,1.0,1
15.0,critical/other existing credit,radio/tv,1537.0,0.0,7.0,4.0,male single,4.0,real estate,50.0,none,own,2.0,skilled,1.0,1
36.0,no credits/all paid,business,1953.0,50.0,7.0,4.0,male single,4.0,no known property,61.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,0
48.0,no credits/all paid,business,14421.0,50.0,2.5,2.0,male single,2.0,car,25.0,none,own,1.0,skilled,1.0,0
24.0,existing paid,radio/tv,3181.0,50.0,0.5,4.0,female div/dep/mar,4.0,life insurance,26.0,none,own,1.0,skilled,1.0,1
27.0,existing paid,repairs,5190.0,0.0,7.0,4.0,male single,4.0,life insurance,48.0,none,own,4.0,skilled,2.0,1
12.0,existing paid,radio/tv,2171.0,50.0,0.5,2.0,female div/dep/mar,2.0,car,29.0,bank,own,1.0,skilled,1.0,1
12.0,existing paid,new car,1007.0,1000.0,2.5,4.0,male mar/wid,1.0,real estate,22.0,none,own,1.0,skilled,1.0,1
36.0,existing paid,education,1819.0,50.0,2.5,4.0,male single,4.0,no known property,37.0,stores,for free,1.0,skilled,1.0,0
36.0,existing paid,radio/tv,2394.0,0.0,2.5,4.0,female div/dep/mar,4.0,car,25.0,none,own,1.0,skilled,1.0,1
36.0,existing paid,used car,8133.0,50.0,2.5,1.0,female div/dep/mar,2.0,life insurance,30.0,bank,own,1.0,skilled,1.0,1
7.0,critical/other existing credit,radio/tv,730.0,0.0,7.0,4.0,male single,2.0,life insurance,46.0,none,rent,2.0,unskilled resident,1.0,1
8.0,critical/other existing credit,other,1164.0,50.0,7.0,3.0,male single,4.0,no known property,51.0,bank,for free,2.0,high qualif/self emp/mgmt,2.0,1
42.0,critical/other existing credit,business,5954.0,50.0,5.5,2.0,female div/dep/mar,1.0,real estate,41.0,bank,own,2.0,unskilled resident,1.0,1
36.0,existing paid,education,1977.0,0.0,7.0,4.0,male single,4.0,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
12.0,critical/other existing credit,used car,1526.0,50.0,7.0,4.0,male single,4.0,no known property,66.0,none,for free,2.0,high qualif/self emp/mgmt,1.0,1
42.0,existing paid,radio/tv,3965.0,50.0,0.5,4.0,male single,3.0,car,34.0,none,own,1.0,skilled,1.0,0
11.0,delayed previously,radio/tv,4771.0,50.0,5.5,2.0,male single,4.0,life insurance,51.0,none,own,1.0,skilled,1.0,1
54.0,no credits/all paid,used car,9436.0,0.0,2.5,2.0,male single,2.0,life insurance,39.0,none,own,1.0,unskilled resident,2.0,1
30.0,existing paid,furniture/equipment,3832.0,50.0,0.5,2.0,male mar/wid,1.0,life insurance,22.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,radio/tv,5943.0,0.0,0.5,1.0,female div/dep/mar,1.0,car,44.0,none,own,2.0,skilled,1.0,0
15.0,existing paid,radio/tv,1213.0,750.0,7.0,4.0,male single,3.0,life insurance,47.0,stores,own,1.0,skilled,1.0,1
18.0,existing paid,business,1568.0,300.0,2.5,3.0,female div/dep/mar,4.0,life insurance,24.0,none,rent,1.0,unskilled resident,1.0,1
24.0,existing paid,other,1755.0,50.0,7.0,4.0,female div/dep/mar,4.0,real estate,58.0,none,own,1.0,unskilled resident,1.0,1
10.0,existing paid,radio/tv,2315.0,50.0,7.0,3.0,male single,4.0,real estate,52.0,none,own,1.0,unskilled resident,1.0,1
12.0,critical/other existing credit,business,1412.0,50.0,2.5,4.0,female div/dep/mar,2.0,real estate,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,1
18.0,critical/other existing credit,furniture/equipment,1295.0,50.0,0.5,4.0,female div/dep/mar,1.0,life insurance,27.0,none,own,2.0,skilled,1.0,1
36.0,existing paid,education,12612.0,300.0,2.5,1.0,male single,4.0,no known property,47.0,none,for free,1.0,skilled,2.0,0
18.0,existing paid,new car,2249.0,300.0,5.5,4.0,male single,3.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,2.0,1
12.0,no credits/all paid,repairs,1108.0,50.0,5.5,4.0,male single,3.0,real estate,28.0,none,own,2.0,skilled,1.0,0
12.0,critical/other existing credit,radio/tv,618.0,50.0,7.0,4.0,male single,4.0,real estate,56.0,none,own,1.0,skilled,1.0,1
12.0,critical/other existing credit,used car,1409.0,50.0,7.0,4.0,male single,3.0,real estate,54.0,none,own,1.0,skilled,1.0,1
12.0,critical/other existing credit,radio/tv,797.0,0.0,7.0,4.0,female div/dep/mar,3.0,life insurance,33.0,bank,own,1.0,unskilled resident,2.0,0
24.0,critical/other existing credit,furniture/equipment,3617.0,0.0,7.0,4.0,male single,4.0,no known property,20.0,none,rent,2.0,skilled,1.0,1
12.0,existing paid,new car,1318.0,1000.0,7.0,4.0,male single,4.0,real estate,54.0,none,own,1.0,skilled,1.0,1
54.0,no credits/all paid,business,15945.0,50.0,0.5,3.0,male single,4.0,no known property,58.0,none,rent,1.0,skilled,1.0,0
12.0,critical/other existing credit,education,2012.0,0.0,5.5,4.0,female div/dep/mar,2.0,car,61.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,business,2622.0,300.0,2.5,4.0,male single,4.0,car,34.0,none,own,1.0,skilled,1.0,1
36.0,critical/other existing credit,radio/tv,2337.0,50.0,7.0,4.0,male single,4.0,real estate,36.0,none,own,1.0,skilled,1.0,1
20.0,delayed previously,used car,7057.0,0.0,5.5,3.0,male single,4.0,life insurance,36.0,bank,rent,2.0,high qualif/self emp/mgmt,2.0,1
24.0,existing paid,new car,1469.0,300.0,7.0,4.0,male mar/wid,4.0,real estate,41.0,none,rent,1.0,unskilled resident,1.0,1
36.0,existing paid,radio/tv,2323.0,50.0,5.5,4.0,male single,4.0,car,24.0,none,rent,1.0,skilled,1.0,1
6.0,delayed previously,radio/tv,932.0,50.0,2.5,3.0,female div/dep/mar,2.0,real estate,24.0,none,own,1.0,skilled,1.0,1
9.0,critical/other existing credit,furniture/equipment,1919.0,50.0,5.5,4.0,male single,3.0,car,35.0,none,rent,1.0,skilled,1.0,1
12.0,existing paid,used car,2445.0,0.0,0.5,2.0,male mar/wid,4.0,car,26.0,none,rent,1.0,skilled,1.0,1
24.0,critical/other existing credit,other,11938.0,50.0,2.5,2.0,male single,3.0,car,39.0,none,own,2.0,high qualif/self emp/mgmt,2.0,0
18.0,all paid,new car,6458.0,50.0,7.0,2.0,male single,4.0,no known property,39.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,0
12.0,existing paid,new car,6078.0,50.0,5.5,2.0,male single,2.0,car,32.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,7721.0,0.0,0.5,1.0,female div/dep/mar,2.0,life insurance,30.0,none,own,1.0,skilled,1.0,1
14.0,existing paid,business,1410.0,750.0,7.0,1.0,male mar/wid,2.0,real estate,35.0,none,own,1.0,skilled,1.0,1
6.0,delayed previously,business,1449.0,300.0,7.0,1.0,male div/sep,2.0,car,31.0,bank,own,2.0,skilled,2.0,1
15.0,existing paid,education,392.0,50.0,0.5,4.0,female div/dep/mar,4.0,life insurance,23.0,none,rent,1.0,skilled,1.0,1
18.0,existing paid,new car,6260.0,50.0,5.5,3.0,male single,3.0,real estate,28.0,none,rent,1.0,unskilled resident,1.0,1
36.0,critical/other existing credit,new car,7855.0,50.0,2.5,4.0,female div/dep/mar,2.0,real estate,25.0,stores,own,2.0,skilled,1.0,0
12.0,existing paid,radio/tv,1680.0,750.0,7.0,3.0,male mar/wid,1.0,real estate,35.0,none,own,1.0,skilled,1.0,1
48.0,critical/other existing credit,radio/tv,3578.0,0.0,7.0,4.0,male single,1.0,real estate,47.0,none,own,1.0,skilled,1.0,1
42.0,existing paid,radio/tv,7174.0,0.0,5.5,4.0,female div/dep/mar,3.0,car,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
10.0,critical/other existing credit,furniture/equipment,2132.0,0.0,0.5,2.0,female div/dep/mar,3.0,real estate,27.0,none,rent,2.0,skilled,1.0,1
33.0,critical/other existing credit,furniture/equipment,4281.0,750.0,2.5,1.0,female div/dep/mar,4.0,car,23.0,none,own,2.0,skilled,1.0,0
12.0,critical/other existing credit,new car,2366.0,750.0,5.5,3.0,male div/sep,3.0,car,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
21.0,existing paid,radio/tv,1835.0,50.0,2.5,3.0,female div/dep/mar,2.0,real estate,25.0,none,own,2.0,skilled,1.0,0
24.0,critical/other existing credit,used car,3868.0,50.0,7.0,4.0,female div/dep/mar,2.0,car,41.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,furniture/equipment,1768.0,50.0,2.5,3.0,male single,2.0,real estate,24.0,none,rent,1.0,unskilled resident,1.0,1
10.0,critical/other existing credit,new car,781.0,50.0,7.0,4.0,male single,4.0,no known property,63.0,none,for free,2.0,skilled,1.0,1
18.0,existing paid,furniture/equipment,1924.0,0.0,0.5,4.0,female div/dep/mar,3.0,real estate,27.0,none,rent,1.0,skilled,1.0,0
12.0,critical/other existing credit,new car,2121.0,50.0,2.5,4.0,male single,2.0,life insurance,30.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,radio/tv,701.0,50.0,2.5,4.0,male mar/wid,2.0,real estate,40.0,none,own,1.0,unskilled resident,1.0,1
12.0,existing paid,repairs,639.0,50.0,2.5,4.0,male single,2.0,car,30.0,none,own,1.0,skilled,1.0,0
12.0,critical/other existing credit,used car,1860.0,50.0,0.0,4.0,male single,2.0,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,1
12.0,critical/other existing credit,new car,3499.0,50.0,2.5,3.0,female div/dep/mar,2.0,real estate,29.0,none,own,2.0,skilled,1.0,0
48.0,existing paid,new car,8487.0,0.0,5.5,1.0,female div/dep/mar,2.0,car,24.0,none,own,1.0,skilled,1.0,1
36.0,delayed previously,education,6887.0,50.0,2.5,4.0,male single,3.0,life insurance,29.0,stores,own,1.0,skilled,1.0,0
15.0,existing paid,furniture/equipment,2708.0,50.0,0.5,2.0,male single,3.0,life insurance,27.0,bank,own,2.0,unskilled resident,1.0,1
18.0,existing paid,furniture/equipment,1984.0,50.0,2.5,4.0,male single,4.0,no known property,47.0,bank,for free,2.0,skilled,1.0,1
60.0,existing paid,radio/tv,10144.0,300.0,5.5,2.0,female div/dep/mar,4.0,real estate,21.0,none,own,1.0,skilled,1.0,1
12.0,critical/other existing credit,radio/tv,1240.0,0.0,7.0,4.0,female div/dep/mar,2.0,real estate,38.0,none,own,2.0,skilled,1.0,1
27.0,delayed previously,used car,8613.0,1000.0,2.5,2.0,male single,2.0,car,27.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,radio/tv,766.0,750.0,2.5,4.0,male single,3.0,real estate,66.0,none,own,1.0,unskilled resident,1.0,0
15.0,critical/other existing credit,radio/tv,2728.0,0.0,5.5,4.0,male single,2.0,real estate,35.0,bank,own,3.0,skilled,1.0,1
12.0,existing paid,radio/tv,1881.0,50.0,2.5,2.0,female div/dep/mar,2.0,car,44.0,none,rent,1.0,unskilled resident,1.0,1
6.0,existing paid,new car,709.0,1000.0,0.5,2.0,male mar/wid,2.0,real estate,27.0,none,own,1.0,unemp/unskilled non res,1.0,1
36.0,existing paid,radio/tv,4795.0,50.0,0.5,4.0,female div/dep/mar,1.0,no known property,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
27.0,existing paid,radio/tv,3416.0,50.0,2.5,3.0,male single,2.0,car,27.0,none,own,1.0,high qualif/self emp/mgmt,1.0,1
18.0,existing paid,furniture/equipment,2462.0,50.0,2.5,2.0,male single,2.0,car,22.0,none,own,1.0,skilled,1.0,0
21.0,critical/other existing credit,furniture/equipment,2288.0,50.0,0.5,4.0,female div/dep/mar,4.0,life insurance,23.0,none,own,1.0,skilled,1.0,1
48.0,all paid,business,3566.0,300.0,5.5,4.0,male single,2.0,car,30.0,none,own,1.0,skilled,1.0,1
6.0,critical/other existing credit,new car,860.0,50.0,7.0,1.0,female div/dep/mar,4.0,no known property,39.0,none,own,2.0,skilled,1.0,1
12.0,critical/other existing credit,new car,682.0,300.0,5.5,4.0,female div/dep/mar,3.0,car,51.0,none,own,2.0,skilled,1.0,1
36.0,critical/other existing credit,furniture/equipment,5371.0,50.0,2.5,3.0,male single,2.0,life insurance,28.0,none,own,2.0,skilled,1.0,1
18.0,critical/other existing credit,radio/tv,1582.0,1000.0,7.0,4.0,male single,4.0,car,46.0,none,own,2.0,skilled,1.0,1
6.0,existing paid,radio/tv,1346.0,300.0,7.0,2.0,male single,4.0,no known property,42.0,bank,for free,1.0,skilled,2.0,1
10.0,existing paid,radio/tv,1924.0,50.0,2.5,1.0,male single,4.0,life insurance,38.0,none,own,1.0,skilled,1.0,1
36.0,existing paid,radio/tv,5848.0,50.0,2.5,4.0,male single,1.0,car,24.0,none,own,1.0,skilled,1.0,1
24.0,critical/other existing credit,used car,7758.0,1000.0,7.0,2.0,female div/dep/mar,4.0,no known property,29.0,none,rent,1.0,skilled,1.0,1
24.0,delayed previously,business,6967.0,300.0,5.5,4.0,male single,4.0,car,36.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,furniture/equipment,1282.0,50.0,2.5,2.0,female div/dep/mar,4.0,car,20.0,none,rent,1.0,skilled,1.0,0
9.0,critical/other existing credit,repairs,1288.0,300.0,7.0,3.0,male single,4.0,real estate,48.0,none,own,2.0,skilled,2.0,1
12.0,all paid,retraining,339.0,50.0,7.0,4.0,male mar/wid,1.0,car,45.0,bank,own,1.0,unskilled resident,1.0,1
24.0,existing paid,new car,3512.0,300.0,5.5,2.0,male single,3.0,car,38.0,bank,own,2.0,skilled,1.0,1
6.0,critical/other existing credit,radio/tv,1898.0,0.0,2.5,1.0,male single,2.0,real estate,34.0,none,own,2.0,unskilled resident,2.0,1
24.0,critical/other existing credit,radio/tv,2872.0,300.0,7.0,3.0,male single,4.0,real estate,36.0,none,own,1.0,skilled,2.0,1
18.0,critical/other existing credit,new car,1055.0,50.0,0.5,4.0,female div/dep/mar,1.0,life insurance,30.0,none,own,2.0,skilled,1.0,1
15.0,existing paid,domestic appliance,1262.0,750.0,5.5,4.0,male single,3.0,life insurance,36.0,none,own,2.0,skilled,1.0,1
10.0,existing paid,new car,7308.0,50.0,0.0,2.0,male single,4.0,no known property,70.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,1
36.0,existing paid,new car,909.0,750.0,7.0,4.0,male single,4.0,life insurance,36.0,none,own,1.0,skilled,1.0,1
6.0,existing paid,furniture/equipment,2978.0,750.0,2.5,1.0,male single,2.0,car,32.0,none,own,1.0,skilled,1.0,1
18.0,existing paid,furniture/equipment,1131.0,50.0,0.0,4.0,female div/dep/mar,2.0,car,33.0,none,own,1.0,skilled,1.0,0
11.0,existing paid,furniture/equipment,1577.0,1000.0,0.5,4.0,female div/dep/mar,1.0,real estate,20.0,none,own,1.0,skilled,1.0,1
24.0,existing paid,furniture/equipment,3972.0,50.0,5.5,2.0,female div/dep/mar,4.0,life insurance,25.0,none,rent,1.0,skilled,1.0,1
24.0,critical/other existing credit,business,1935.0,50.0,7.0,4.0,male div/sep,4.0,real estate,31.0,none,own,2.0,skilled,1.0,0
15.0,no credits/all paid,new car,950.0,50.0,7.0,4.0,male single,3.0,car,33.0,none,rent,2.0,skilled,2.0,0
12.0,existing paid,furniture/equipment,763.0,50.0,2.5,4.0,female div/dep/mar,1.0,real estate,26.0,none,own,1.0,skilled,1.0,1
24.0,delayed previously,furniture/equipment,2064.0,50.0,0.0,3.0,female div/dep/mar,2.0,life insurance,34.0,none,own,1.0,high qualif/self emp/mgmt,1.0,0
8.0,existing paid,radio/tv,1414.0,50.0,2.5,4.0,male single,2.0,real estate,33.0,none,own,1.0,skilled,1.0,1
21.0,delayed previously,education,3414.0,50.0,0.5,2.0,male single,1.0,life insurance,26.0,none,own,2.0,skilled,1.0,0
30.0,all paid,used car,7485.0,0.0,0.0,4.0,female div/dep/mar,1.0,real estate,53.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,0
12.0,existing paid,furniture/equipment,2577.0,50.0,2.5,2.0,male div/sep,1.0,car,42.0,none,own,1.0,skilled,1.0,1
6.0,critical/other existing credit,radio/tv,338.0,750.0,7.0,4.0,male single,4.0,car,52.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,radio/tv,1963.0,50.0,5.5,4.0,male single,2.0,car,31.0,none,rent,2.0,high qualif/self emp/mgmt,2.0,1
21.0,critical/other existing credit,new car,571.0,50.0,7.0,4.0,male single,4.0,real estate,65.0,none,own,2.0,skilled,1.0,1
36.0,delayed previously,business,9572.0,50.0,0.5,1.0,male div/sep,1.0,car,28.0,none,own,2.0,skilled,1.0,0
36.0,delayed previously,business,4455.0,50.0,2.5,2.0,male div/sep,2.0,real estate,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,0
21.0,all paid,new car,1647.0,0.0,2.5,4.0,male single,2.0,life insurance,40.0,none,own,2.0,unskilled resident,2.0,0
24.0,critical/other existing credit,furniture/equipment,3777.0,1000.0,2.5,4.0,male single,4.0,real estate,50.0,none,own,1.0,skilled,1.0,1
18.0,critical/other existing credit,new car,884.0,50.0,7.0,4.0,male single,4.0,car,36.0,bank,own,1.0,skilled,2.0,0
15.0,critical/other existing credit,radio/tv,1360.0,50.0,2.5,4.0,male single,2.0,life insurance,31.0,none,own,2.0,skilled,1.0,1
9.0,all paid,used car,5129.0,50.0,7.0,2.0,female div/dep/mar,4.0,no known property,74.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,0
16.0,critical/other existing credit,new car,1175.0,50.0,0.0,2.0,male single,3.0,car,68.0,none,for free,3.0,unemp/unskilled non res,1.0,1
12.0,existing paid,radio/tv,674.0,300.0,5.5,4.0,male mar/wid,1.0,life insurance,20.0,none,own,1.0,skilled,1.0,0
18.0,no credits/all paid,furniture/equipment,3244.0,50.0,2.5,1.0,female div/dep/mar,4.0,car,33.0,bank,own,2.0,skilled,1.0,1
24.0,existing paid,business,4591.0,1000.0,2.5,2.0,male single,3.0,life insurance,54.0,none,own,3.0,high qualif/self emp/mgmt,1.0,0
48.0,no credits/all paid,business,3844.0,300.0,5.5,4.0,male single,4.0,no known property,34.0,none,for free,1.0,unskilled resident,2.0,0
27.0,existing paid,business,3915.0,50.0,2.5,4.0,male single,2.0,car,36.0,none,own,1.0,skilled,2.0,0
6.0,existing paid,radio/tv,2108.0,50.0,5.5,2.0,male mar/wid,2.0,real estate,29.0,none,rent,1.0,skilled,1.0,1
45.0,existing paid,radio/tv,3031.0,300.0,2.5,4.0,male single,4.0,life insurance,21.0,none,rent,1.0,skilled,1.0,0
9.0,critical/other existing credit,education,1501.0,50.0,7.0,2.0,female div/dep/mar,3.0,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,0
6.0,critical/other existing credit,radio/tv,1382.0,50.0,2.5,1.0,female div/dep/mar,1.0,car,28.0,none,own,2.0,skilled,1.0,1
12.0,existing paid,furniture/equipment,951.0,300.0,0.5,4.0,female div/dep/mar,4.0,car,27.0,bank,rent,4.0,skilled,1.0,0
